Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Adrien Thomasson,Strasbourg,M(CLR),10,938,0,2,2,0,1.1,82.8,0.5,0,6.39
Gian Marco Ferrari,Sassuolo,D(C),19,1714,1,0,5,0,0.3,85.6,1.4,0,6.39
Scott McKenna,Nottingham Forest,D(C),17,1463,0,0,4,0,0.1,80.4,1.8,0,6.39
Jesús Navas,Sevilla,"D(R),M(R)",15,1385,0,0,3,0,0.3,82.4,0.3,0,6.39
Angelo Stiller,Hoffenheim,DMC,5,594,1,1,0,0,0.4,75.9,0.8,0,6.39
Luca Zanimacchia,Cremonese,AM(C),9,748,0,0,2,0,1.3,74.9,0.2,0,6.39
Pathé Ciss,Rayo Vallecano,DMC,10,1037,1,0,4,0,0.8,84.4,1.0,1,6.39
Kevin Paredes,Wolfsburg,M(L),1,350,1,2,1,0,0.2,78.2,0.2,0,6.39
Soualiho Meïté,Cremonese,M(C),17,1392,0,1,5,0,0.6,84.0,0.8,0,6.39
Paul Bernardoni,Angers,GK,20,1800,0,0,0,0,0.0,63.3,0.3,0,6.39
Thomas Henry,Verona,FW,13,1038,2,0,4,0,1.1,53.2,2.9,1,6.38
Grejohn Kyei,Clermont Foot,FW,16,1407,3,2,2,0,1.4,69.3,1.0,1,6.38
Alexis Saelemaekers,AC Milan,M(R),10,870,0,2,1,0,0.7,78.6,0.4,1,6.38
Pedro Obiang,Sassuolo,DMC,9,710,0,1,2,0,0.3,82.5,0.9,0,6.38
Remo Freuler,Nottingham Forest,DMC,20,1814,0,0,3,0,0.3,79.9,0.9,0,6.38
Mattia Caldara,Spezia,D(C),12,1160,0,0,6,0,0.6,77.1,1.8,0,6.38
Federico Di Francesco,Lecce,"M(LR),FW",17,1421,1,2,5,0,1.0,73.0,0.2,1,6.38
Pablo Fornals,West Ham,M(CLR),11,1040,1,1,0,0,0.8,77.9,0.3,1,6.38
Daniel Maldini,Spezia,Forward,2,454,2,0,0,0,0.8,73.5,0.7,0,6.38
Álex Fernández,Cadiz,"M(CL),FW",16,1425,3,0,0,0,0.7,86.5,0.4,1,6.38
Alexander Schwolow,Schalke,GK,17,1530,0,0,1,0,0.1,63.7,0.2,0,6.38
Mattia De Sciglio,Juventus,"D(CLR),M(LR)",9,924,0,0,0,0,0.3,82.7,0.7,0,6.38
Mohamed Bayo,Lille,FW,5,482,4,0,0,0,1.1,59.8,0.6,0,6.38
Christophe Hérelle,Brest,D(CR),12,1060,0,0,2,0,0.2,86.3,0.7,0,6.38
Cristian Gamboa,Bochum,"D(R),M(R)",15,1279,0,0,2,0,0.5,67.0,0.8,0,6.38
Unai López,Rayo Vallecano,M(CR),9,900,1,2,1,0,0.8,84.5,0.1,1,6.38
Thierno Baldé,Troyes,"D(R),M(R)",19,1633,0,0,1,0,0.3,82.6,0.3,0,6.38
Mads Pedersen,Augsburg,"D(L),M(CL)",13,1222,0,0,4,0,0.2,73.8,0.3,0,6.37
Cyrille Bayala,AC Ajaccio,AM(R),21,1651,1,1,3,1,0.8,64.5,1.2,0,6.37
Pablo Rosario,Nice,"D(C),DMC",11,1212,0,1,5,0,0.3,89.2,0.5,0,6.37
Filip Uremovic,Hertha Berlin,D(CR),15,1301,0,0,3,1,0.4,79.8,3.0,0,6.37
Daniele Verde,Spezia,"AM(CLR),FW",8,690,2,0,1,0,1.4,74.1,0.0,0,6.37
Adrien Hunou,Angers,"AM(CLR),FW",23,1779,3,1,1,0,1.4,75.6,0.6,0,6.37
Odilon Kossounou,Leverkusen,D(CR),12,1070,0,1,1,0,0.1,83.0,1.2,0,6.37
Ilaix Moriba,Valencia,M(C),8,769,0,1,2,1,0.9,80.2,1.0,1,6.37
Kelechi Iheanacho,Leicester,"AM(C),FW",7,737,3,4,0,0,1.3,75.7,0.2,1,6.37
Yasser Larouci,Troyes,"D(L),M(L)",14,1188,1,0,1,0,0.3,77.2,0.7,0,6.37
