Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Hwang Hee-Chan,Wolves,"AM(CLR),FW",9,713,1,1,1,0,0.4,77.0,0.1,0,6.25
Islam Slimani,Brest,FW,11,989,1,1,5,0,0.9,72.5,1.4,0,6.25
Oliver Burke,Werder Bremen,"AM(LR),FW",1,255,2,0,0,0,0.5,70.3,0.5,0,6.25
Batista Mendy,Angers,"D(C),DMC",25,2061,0,0,6,1,0.4,86.8,0.8,0,6.25
Enzo Millot,Stuttgart,Midfielder,3,406,0,0,3,0,0.7,83.0,0.2,0,6.25
Agustín Rogel,Hertha Berlin,D(C),12,1103,0,1,6,0,0.4,76.9,2.1,0,6.25
Sébastien Corchia,Nantes,"D(R),M(R)",4,610,0,1,2,0,0.2,74.8,0.4,0,6.25
Demba Seck,Torino,Forward,5,388,0,0,0,0,0.6,79.6,0.2,0,6.25
Sékou Mara,Southampton,FW,3,438,0,2,1,0,0.8,68.2,1.0,0,6.24
Takuma Asano,Bochum,"AM(CLR),FW",13,1016,1,1,1,0,1.8,74.0,0.7,0,6.24
Ibrahima Diallo,Southampton,DMC,11,807,0,0,3,0,0.4,79.8,0.9,0,6.24
Tanguy Ndombélé,Napoli,M(C),6,614,1,0,4,0,0.6,89.7,0.2,0,6.24
Adam Armstrong,Southampton,"AM(CLR),FW",12,1113,1,1,1,0,0.8,76.7,0.2,0,6.24
Ángel Algobia,Getafe,M(C),11,1004,0,0,3,0,0.3,82.0,0.4,0,6.24
Angelo Fulgini,Mainz,"AM(CLR),FW",5,520,0,1,1,0,0.5,81.3,0.3,0,6.24
Bernardo Espinosa,Girona,D(C),10,846,0,1,3,0,0.4,88.5,2.6,0,6.24
Neal Maupay,Everton,"AM(C),FW",10,946,1,0,3,0,1.4,75.4,0.7,0,6.24
Ismail Jakobs,Monaco,"D(L),M(L)",5,636,0,2,2,0,0.4,70.9,1.0,0,6.24
Kingsley Schindler,FC Koln,"D(R),M(R),FW",4,690,0,0,3,0,0.1,66.9,0.9,0,6.24
Tom Cairney,Fulham,M(CR),1,454,0,0,1,0,0.5,88.6,0.2,0,6.23
M'Baye Niang,Auxerre,"AM(LR),FW",14,1174,3,0,2,2,1.2,63.9,2.7,0,6.23
Iké Ugbo,Troyes,FW,5,434,2,1,0,0,0.5,69.0,0.2,0,6.23
Patrick Osterhage,Bochum,M(C),6,633,0,0,1,0,0.2,72.3,0.5,0,6.23
Jacopo Fazzini,Empoli,Midfielder,3,356,0,0,3,0,0.4,86.3,0.4,0,6.23
Liam Henderson,Empoli,AM(C),9,784,0,1,8,0,0.5,84.1,0.2,0,6.23
Aleix Vidal,Espanyol,"D(R),M(LR)",10,900,0,1,4,0,0.2,76.6,0.1,0,6.22
Marcos André,Valencia,FW,3,427,1,0,2,1,1.1,67.8,0.6,0,6.22
Jeong Woo-Yeong,Freiburg,"AM(CR),FW",4,603,1,1,2,0,0.6,80.3,0.2,0,6.22
Eliot Matazo,Monaco,DMC,9,808,0,0,2,0,0.2,83.4,0.4,0,6.22
Nicolás Melamed,Espanyol,AM(L),7,527,0,2,3,0,0.5,80.0,0.4,0,6.22
Kristoffer Askildsen,Lecce,M(C),6,619,0,0,3,0,0.5,66.3,0.9,0,6.22
Ado Onaiwu,Toulouse,Forward,4,695,2,1,0,0,0.4,75.8,1.0,0,6.21
Clément Vidal,AC Ajaccio,D(C),13,1181,0,0,3,1,0.5,76.4,2.2,0,6.21
Florian Müller,Stuttgart,GK,19,1710,0,0,0,0,0.0,78.7,0.2,0,6.21
Youssouf M'Changama,Auxerre,M(C),6,644,0,0,0,0,0.6,85.9,0.4,0,6.21
Ryan Gravenberch,Bayern,DMC,1,307,0,0,1,0,0.5,89.1,0.0,0,6.21
Yannik Keitel,Freiburg,DMC,5,442,0,2,3,0,0.0,82.1,0.4,0,6.21
Carlos Vinícius,Fulham,FW,5,556,2,1,2,0,0.6,59.0,0.8,0,6.21
Fidel,Elche,M(CLR),10,874,1,1,4,0,0.4,73.0,0.1,0,6.21
Cédric Avinel,AC Ajaccio,D(C),16,1461,1,0,1,1,0.1,84.9,1.6,1,6.21
Abdou Harroui,Sassuolo,"DMC,M(R)",2,328,1,0,1,0,0.6,82.0,0.3,0,6.21
Tariq Lamptey,Brighton,"D(R),M(R)",3,443,0,0,1,0,0.3,86.2,0.1,0,6.21
Dyego Sousa,Almeria,FW,2,364,0,1,1,0,0.7,68.9,1.0,0,6.2
Kevin Lasagna,Verona,"AM(CL),FW",13,1281,1,2,1,0,2.1,63.5,0.6,0,6.2
Agustín Álvarez Martínez,Sassuolo,Forward,1,299,1,1,1,0,0.6,82.9,0.4,0,6.2
Enzo Roco,Elche,D(C),18,1480,0,0,3,1,0.5,82.0,2.1,0,6.2
Lucas Alario,Eintracht Frankfurt,FW,2,284,1,0,0,0,0.6,69.7,1.0,0,6.2
Michel Aebischer,Bologna,M(CR),11,1007,1,0,3,0,0.5,84.5,0.2,0,6.2
Gonzalo Montiel,Sevilla,"D(CR),M(R)",11,974,0,1,5,1,0.4,80.9,0.6,0,6.19
Oier Zarraga,Athletic Bilbao,"DMC,M(R)",4,608,0,0,4,0,0.7,80.1,0.4,0,6.19
Josha Vagnoman,Stuttgart,"D(LR),M(R)",7,687,0,0,0,1,0.6,77.7,0.9,0,6.19
Harry Wilson,Fulham,AM(CLR),4,446,0,0,1,0,0.5,79.8,0.2,0,6.19
Luca Pfeiffer,Stuttgart,FW,6,660,0,0,1,1,0.7,63.7,1.7,0,6.19
Kenan Karaman,Schalke,"AM(CLR),FW",5,492,1,0,2,0,1.0,67.7,1.3,0,6.18
Ronaldo Vieira,Sampdoria,DMC,8,815,0,0,3,0,0.3,87.8,0.5,0,6.18
Robert Navarro,Real Sociedad,Midfielder,1,333,0,0,2,0,0.8,78.2,0.4,0,6.18
Shandon Baptiste,Brentford,AM(C),4,451,0,0,1,1,0.1,85.0,0.2,0,6.18
Sada Thioub,Angers,M(LR),5,565,0,1,2,0,0.4,82.3,0.2,0,6.18
Erik Botheim,Salernitana,Forward,3,346,1,1,1,0,0.2,65.1,0.7,0,6.18
Emil Ceïde,Sassuolo,Forward,3,322,0,0,0,0,0.3,69.6,0.1,0,6.18
Nicola Murru,Sampdoria,"D(L),M(L)",3,504,0,0,2,0,0.1,75.9,0.4,0,6.18
Diego González,Elche,D(CL),8,928,0,0,5,0,0.4,80.2,1.2,0,6.18
Hugo Duro,Valencia,"AM(L),FW",9,965,1,0,4,0,1.1,74.9,1.0,0,6.18
Diego Costa,Wolves,FW,9,713,0,0,2,1,1.5,76.2,1.4,0,6.17
Gonçalo Paciência,Celta Vigo,FW,4,402,1,0,2,1,1.1,58.8,1.1,0,6.17
Toma Basic,Lazio,M(C),4,414,0,0,2,0,0.4,77.1,0.5,0,6.17
Jean-Philippe Mateta,Crystal Palace,FW,6,686,1,0,2,0,1.0,69.2,1.0,0,6.17
Jesse Lingard,Nottingham Forest,"AM(CLR),FW",12,926,0,0,1,0,0.6,81.2,0.1,0,6.17
Iván Alejo,Cadiz,AM(R),8,824,0,1,7,1,0.7,68.9,0.7,0,6.17
Sergi Guardiola,Real Valladolid,FW,8,508,0,0,1,0,0.8,64.6,0.6,0,6.16
Joe Gelhardt,Leeds,FW,1,202,0,2,1,0,0.7,67.2,0.3,0,6.16
Raúl Guti,Elche,DMC,10,852,0,0,1,0,0.7,82.6,0.3,0,6.16
Andrea Belotti,Roma,FW,4,600,0,0,0,0,0.5,69.5,0.8,0,6.16
Rodrigo Battaglia,Mallorca,M(C),8,686,0,0,5,0,0.1,80.8,0.7,0,6.16
Francesco Caputo,Sampdoria,FW,13,1100,1,0,0,0,1.3,71.9,0.4,0,6.16
Manu Trigueros,Villarreal,"M(CLR),FW",6,552,0,0,2,1,0.3,88.0,0.2,0,6.15
Willian José,Real Betis,FW,2,377,1,0,0,0,0.7,81.5,0.5,0,6.15
Abdón Prats,Mallorca,FW,1,264,1,1,0,0,0.3,70.6,0.3,0,6.14
Saidy Janko,Bochum,"D(R),M(R)",9,805,0,0,1,0,0.1,72.4,0.6,0,6.14
Sam Surridge,Nottingham Forest,FW,1,270,1,0,2,0,0.6,48.5,0.8,0,6.14
Matteo Cancellieri,Lazio,Forward,1,226,0,0,3,0,0.3,76.6,0.2,0,6.14
Lebo Mothiba,Strasbourg,FW,1,284,2,0,0,0,0.4,75.8,0.3,0,6.14
Kevin Spadanuda,AC Ajaccio,M(L),6,522,0,0,2,0,0.4,82.9,0.1,0,6.14
Antonio Sánchez,Mallorca,AM(CR),7,680,0,0,4,0,0.5,76.4,0.3,0,6.14
Radamel Falcao,Rayo Vallecano,FW,3,497,2,0,4,0,1.0,75.6,0.9,0,6.14
Silvère Ganvoula,Bochum,FW,0,224,0,0,1,0,0.6,55.6,1.5,0,6.14
Christian Gytkjær,Monza,FW,3,484,1,0,0,0,0.6,68.8,0.4,0,6.13
Juan Perea,Stuttgart,Forward,2,330,1,0,0,0,0.1,68.3,0.3,0,6.13
Jaime Seoane,Getafe,M(C),2,300,0,0,0,0,0.1,79.8,0.1,0,6.13
Tom Davies,Everton,M(C),4,471,0,0,3,0,0.6,74.3,0.4,0,6.13
Salvi Sánchez,Rayo Vallecano,AM(R),3,307,0,0,2,0,0.2,60.2,0.1,0,6.13
Mateusz Klich,Leeds,M(C),0,266,0,0,2,0,0.3,75.7,0.1,0,6.12
Veljko Birmancevic,Toulouse,Midfielder,1,312,0,0,0,0,0.3,72.8,0.2,0,6.12
Arnau Puigmal,Almeria,Midfielder,2,388,0,0,3,0,0.8,78.5,0.1,0,6.11
Will Hughes,Crystal Palace,M(CLR),3,408,0,0,4,0,0.1,79.5,0.2,0,6.11
Josan,Elche,"D(R),M(R)",3,440,1,0,3,0,0.2,81.8,0.2,0,6.11
Gonzalo Villar,Sampdoria,DMC,8,695,0,0,2,0,0.1,84.2,0.6,0,6.08
Shon Weissman,Real Valladolid,FW,6,742,1,0,0,0,1.2,77.5,0.3,0,6.07
