Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Ciro Immobile,"Lazio,",", FW",18(2),1456,9,3,3,-,2.5,74.5,0.6,4,6.92
Edon Zhegrova,"Lille,",", AM(R)",8(8),741,1,4,1,-,1.9,81.7,-,1,6.92
Alejandro Balde,"Barcelona,",", D(LR)",20(3),1664,-,5,3,-,0.3,91.2,0.4,1,6.92
Rafael Ratão,"Toulouse,",", AM(LR)",20(2),1418,5,2,2,-,1.1,76.5,0.4,1,6.92
Mitchell Weiser,"Werder Bremen,",", D(R),M(R)",21(1),1842,1,7,6,-,1,70,1,1,6.92
Dante,"Nice,",", D(C)",27,2430,1,2,4,-,0.6,90.2,1.8,-,6.92
Gabri Veiga,"Celta Vigo,",", M(C)",18(7),1510,9,3,4,1,1.9,79,0.6,2,6.92
Karl Toko Ekambi,"Lyon,",", AM(LR),FW",15(4),1357,4,2,1,-,2.2,82.3,0.8,2,6.91
Gregor Kobel,"Borussia Dortmund,",", GK",18,1620,-,-,-,-,-,78.8,0.2,1,6.91
Chris Smalling,"Roma,",", D(CR)",25(1),2312,3,1,6,-,0.5,86.6,2.1,2,6.91
Khéphren Thuram,"Nice,",", DMC",23(5),2016,2,4,2,-,1.1,86.6,0.4,-,6.91
Karim Onisiwo,"Mainz,",", AM(CLR),FW",21(2),1902,9,1,3,-,2.4,60.4,2,2,6.91
Jonathan Gradit,"Lens,",", D(CR)",23,1936,1,3,5,-,0.2,90.6,1.6,-,6.91
Andreas Christensen,"Barcelona,",", D(C),DMC",15(1),1266,-,1,2,-,0.4,93.9,1.9,-,6.91
Reinildo,"Atletico,",", D(CL),M(L)",22,1860,-,-,4,-,0.3,87.1,1.4,1,6.91
Luke Shaw,"Man Utd,",", D(CL),M(L)",21(1),1845,1,2,5,-,0.5,83.6,1.4,1,6.91
Alessio Romagnoli,"Lazio,",", D(CL)",23(1),2044,1,-,2,-,0.3,89.8,2.3,1,6.90
Alexis Flips,"Reims,",", M(CLR)",20(3),1415,2,6,2,1,1.7,68.8,0.4,1,6.90
Axel Disasi,"Monaco,",", D(C)",27(1),2430,2,3,2,-,0.6,83.7,2.5,1,6.90
Filip Kostic,"Juventus,",", M(LR),FW",25(2),2013,3,8,3,-,1.1,79.7,0.4,2,6.90
Matthijs de Ligt,"Bayern,",", D(C)",18(4),1600,2,-,4,-,0.7,91.2,2.6,-,6.90
Hicham Boudaoui,"Nice,",", M(CR)",14(4),1196,-,1,3,-,0.6,88.9,0.4,-,6.90
Gabriel Magalhães,"Arsenal,",", D(C)",28,2516,3,-,4,-,0.8,89.7,2.2,2,6.89
Juan Cuadrado,"Juventus,",", D(R),M(CLR),FW",16(5),1330,1,3,3,1,1.1,86.1,0.4,2,6.89
Ritsu Doan,"Freiburg,",", AM(CLR),FW",22(3),1787,4,3,2,-,1.8,73,0.1,-,6.89
Romain Del Castillo,"Brest,",", AM(LR),FW",11(6),950,5,5,2,-,1.5,71.3,0.5,2,6.89
Lee Kang-In,"Mallorca,",", AM(CLR),FW",23(2),1963,3,4,6,-,1.3,81.1,0.3,3,6.89
Rafael Tolói,"Atalanta,",", D(C)",22,1902,1,1,4,-,1,81.1,1.2,2,6.89
Marc-André ter Stegen,"Barcelona,",", GK",26,2340,-,-,-,-,-,82.7,0.2,-,6.88
Rafal Gikiewicz,"Augsburg,",", GK",21,1890,-,-,3,-,-,70.4,0.3,3,6.88
Youcef Belaïli,"AC Ajaccio,",", AM(L)",14(2),1100,6,3,2,-,2,75.3,0.4,2,6.88
Fabiano Parisi,"Empoli,",", D(L)",24,2031,2,-,6,1,0.7,78.4,0.7,-,6.88
Rodrigo Becão,"Udinese,",", D(C)",21,1863,2,1,10,-,0.7,79.5,2.2,1,6.88
Sèrge Aurier,"Nottingham Forest,",", D(CLR),M(R)",16(2),1435,1,-,2,-,0.4,73.7,2,1,6.88
Dusan Vlahovic,"Juventus,",", FW",17(1),1469,8,2,-,-,3,72.7,1.4,3,6.88
Maxence Caqueret,"Lyon,",", DMC",23(3),1978,1,5,2,-,0.8,86.3,0.5,1,6.88
Ollie Watkins,"Aston Villa,",", AM(LR),FW",25(1),2149,9,5,1,-,2.2,70.6,1.8,1,6.88
Alexander Djiku,"Strasbourg,",", D(CR),DMC",25,2159,1,2,5,-,0.5,81,2.8,-,6.88
Thibaut Courtois,"Real Madrid,",", GK",20,1800,-,-,-,-,-,82.4,0.3,1,6.88
Baptiste Santamaría,"Rennes,",", DMC",14(2),1231,1,-,2,-,0.8,85.6,2.5,1,6.88
Guillermo Maripán,"Monaco,",", D(C)",18(1),1576,3,-,1,1,0.7,87.3,2.1,1,6.88
Guido Rodríguez,"Real Betis,",", DMC",21(1),1798,-,-,6,-,0.5,87.9,1.3,1,6.88
Vanderson,"Monaco,",", D(R),M(R)",15(7),1435,-,3,1,1,0.9,81.3,0.8,1,6.88
Jonas Hector,"FC Koln,",", D(L),M(CL)",23,2016,-,1,2,-,0.8,77.8,1.5,-,6.88
Rasmus Nicolaisen,"Toulouse,",", D(C)",27,2367,-,2,4,1,0.3,83.7,3.1,1,6.88
Takefusa Kubo,"Real Sociedad,",", AM(CLR),FW",20(3),1681,5,3,2,-,2.1,76.3,0.5,3,6.87
Pascal Struijk,"Leeds,",", D(CL),DMC",20(1),1691,2,1,4,-,0.6,78.7,2.1,-,6.87
Marius Wolf,"Borussia Dortmund,",", D(R),M(CLR)",12(6),1142,1,1,1,-,1.1,78.8,0.3,3,6.87
Nico Williams,"Athletic Bilbao,",", AM(LR)",24(1),2006,4,4,1,-,1.9,78.7,0.4,3,6.87
Andrew Robertson,"Liverpool,",", D(L),M(L)",20(3),1776,-,6,2,-,0.5,83.6,0.6,-,6.87
Lucas Tousart,"Hertha Berlin,",", DMC",24,2138,3,1,1,-,1.2,63,3.1,3,6.87
Neto Borges,"Clermont Foot,",", D(L),M(L)",25,2164,2,-,2,1,0.8,79.1,1,2,6.87
Cristiano Biraghi,"Fiorentina,",", D(L),M(L)",23(2),1985,1,2,-,-,0.7,77.1,0.6,1,6.87
Álvaro García,"Rayo Vallecano,",", AM(L)",23(1),2025,4,2,4,-,1.4,71.5,0.5,2,6.87
Stefan de Vrij,"Inter,",", D(C)",15(1),1311,1,-,2,-,0.6,88.6,3.2,-,6.87
Yeray Álvarez,"Athletic Bilbao,",", D(C)",21,1810,1,1,5,1,0.3,81.5,1.9,1,6.87
Rayan Cherki,"Lyon,",", AM(CLR)",12(13),1122,3,4,3,-,1.5,80,0.1,2,6.87
Exequiel Palacios,"Leverkusen,",", M(C)",14(5),1198,3,2,1,-,0.7,86,0.6,2,6.87
Hirving Lozano,"Napoli,",", AM(LR),FW",15(10),1285,3,3,3,-,1.4,80.7,0.2,1,6.87
Florian Tardieu,"Troyes,",", M(C)",11(3),1009,3,-,2,-,0.9,90.4,0.5,-,6.87
Álvaro Morata,"Atletico,",", AM(L),FW",16(10),1352,10,2,3,-,1.8,63.5,1.5,2,6.86
Stijn Spierings,"Toulouse,",", M(C)",28,2518,2,-,2,-,0.8,85.7,0.7,-,6.86
Lee Jae-Sung,"Mainz,",", AM(CLR),FW",19(6),1475,7,3,2,-,1,74.4,1.2,3,6.86
Ismaily,"Lille,",", D(L)",17(1),1452,2,1,-,-,0.7,80.5,1.6,-,6.86
Emmanuel Agbadou,"Reims,",", D(C),DMC",19(2),1706,-,2,3,2,0.8,85.6,1.8,1,6.86
Bryan Mbeumo,"Brentford,",", AM(LR),FW",27,2116,5,3,4,-,1.7,74.3,0.9,1,6.86
Gavi,"Barcelona,",", AM(CL)",20(5),1722,1,2,5,-,0.7,88.4,1.1,-,6.86
Daichi Kamada,"Eintracht Frankfurt,",", AM(CLR),FW",19(4),1655,7,4,2,-,1.2,83.4,0.6,2,6.86
Jordi Alba,"Barcelona,",", D(L),M(L)",10(6),1002,1,3,2,1,0.6,88,0.4,1,6.86
Willian,"Fulham,",", AM(CLR)",17(2),1471,3,2,2,-,1.3,81.9,0.4,1,6.86
Youri Tielemans,"Leicester,",", M(C)",19(4),1712,3,1,3,-,1,83.9,0.7,1,6.86
Jordan Lotomba,"Nice,",", D(LR),M(R)",21(5),1937,-,2,4,-,0.3,84.1,0.7,2,6.86
Nicolò Casale,"Lazio,",", D(C)",19,1677,1,1,5,-,0.4,92.1,1.9,-,6.85
Timo Werner,"RBL,",", AM(CLR),FW",15(4),1310,7,2,2,-,2.2,77.7,0.2,3,6.85
Alban Lafont,"Nantes,",", GK",27,2430,-,-,-,1,-,64.4,0.3,4,6.85
Douglas Luiz,"Aston Villa,",", M(C)",22(4),1953,3,5,4,1,0.9,87.4,0.7,2,6.85
Dodi Lukébakio,"Hertha Berlin,",", AM(CLR),FW",19(5),1730,10,1,6,-,2.1,71.6,0.5,3,6.85
Alexander Sørloth,"Real Sociedad,",", AM(R),FW",20(2),1664,9,1,4,-,1.9,69.8,1.5,2,6.85
Salis Abdul Samed,"Lens,",", DMC",26,2338,1,1,4,-,0.5,92.5,0.4,-,6.85
Dejan Kulusevski,"Tottenham,",", AM(CR),FW",16(4),1473,2,6,1,-,1.5,80.2,0.2,1,6.85
Samuel Chukwueze,"Villarreal,",", AM(CR)",16(9),1479,4,5,1,-,1.4,77.5,0.4,2,6.85
Guglielmo Vicario,"Empoli,",", GK",24,2160,-,-,3,-,-,71.1,0.3,1,6.85
Matteo Pessina,"Monza,",", AM(CR)",24(1),2067,3,2,5,-,0.8,86.4,1.2,-,6.85
Federico Dimarco,"Inter,",", D(CL),M(L)",21(4),1695,3,2,-,-,1.4,80.1,0.2,-,6.85
Ben White,"Arsenal,",", D(CR),DMC",26(2),2168,1,3,4,-,0.3,85.9,0.9,-,6.85
Luigi Sepe,"Salernitana,",", GK",17,1530,-,-,3,-,-,63.9,0.3,1,6.84
Vinicius Souza,"Espanyol,",", DMC",24,2039,-,-,5,1,0.3,80.6,2.7,-,6.84
David Silva,"Real Sociedad,",", M(CLR),FW",17(2),1318,1,4,2,-,0.9,85.5,0.4,1,6.84
Pau Torres,"Villarreal,",", D(C)",23,2070,-,-,9,-,0.3,85.5,1.5,1,6.84
Kai Havertz,"Chelsea,",", M(CR),FW",23(3),1985,7,1,4,-,2,81.7,2.4,2,6.84
Mathias Jensen,"Brentford,",", M(C)",27,2085,5,4,3,-,0.6,74.8,0.3,3,6.84
Joachim Andersen,"Crystal Palace,",", D(C)",22,1928,1,-,6,-,0.7,80.2,2.5,-,6.84
Davide Frattesi,"Sassuolo,",", DMC",26(1),2164,6,-,3,-,1.7,77.7,0.7,1,6.84
Fikayo Tomori,"AC Milan,",", D(CR)",23(1),2014,1,-,3,-,0.3,87.5,1.9,2,6.84
Joe Willock,"Newcastle,",", M(C)",22(3),1820,2,4,1,-,1.5,84.7,0.4,2,6.83
Álex Moreno,"Real Betis,",", D(L),M(L)",15,1350,-,3,1,-,0.9,77.4,0.6,-,6.83
Manu Koné,"Borussia M.Gladbach,",", DMC",24,2109,1,1,9,-,0.9,86.9,0.6,-,6.83
Marc Oliver Kempf,"Hertha Berlin,",", D(C)",24,2097,-,-,4,-,0.5,77.8,4.1,-,6.83
Nicolas Höfler,"Freiburg,",", D(C),DMC",24,2106,-,1,8,-,0.7,83.4,1.8,1,6.83
Olivier Giroud,"AC Milan,",", FW",19(5),1584,8,4,5,1,2.7,62.1,3.3,1,6.83
Bryan Cristante,"Roma,",", D(C),M(C)",26,2178,1,1,6,1,0.7,81.8,2.1,2,6.83
Philip Billing,"Bournemouth,",", M(C),FW",24(2),1968,6,1,5,-,1,78.6,1.4,2,6.83
Georginio Rutter,"Hoffenheim,",", FW",11(4),1010,2,2,2,-,1.8,63.9,0.7,1,6.83
Ardian Ismajli,"Empoli,",", D(C)",18(2),1673,-,-,3,-,0.5,85,2,2,6.83
Morten Hjulmand,"Lecce,",", DMC",25,2128,-,4,7,1,0.4,78.6,1.2,5,6.83
Gabriel Strefezza,"Lecce,",", M(LR)",22(3),1776,7,1,4,-,1.9,68.2,0.5,-,6.83
Adrien Truffert,"Rennes,",", D(L),M(L)",24(4),1962,-,6,2,-,0.4,80.8,1.2,1,6.83
Nicolò Rovella,"Monza,",", DMC",12(2),1041,-,-,4,1,0.9,89.4,0.4,-,6.82
Aitor Fernández,"Osasuna,",", GK",14,1260,-,-,1,-,-,58.9,0.1,1,6.82
Rodrigo Zalazar,"Schalke,",", M(C)",9(6),853,1,2,3,-,1.9,66.7,0.9,2,6.82
Junior Messias,"AC Milan,",", M(CR),FW",14(4),1113,4,2,2,-,1.3,77.3,1.2,1,6.82
Sheraldo Becker,"Union Berlin,",", AM(CLR),FW",24(1),1820,7,4,1,-,1.7,65.2,0.6,2,6.82
Donyell Malen,"Borussia Dortmund,",", AM(LR),FW",14(3),1074,2,2,-,-,1.8,79.8,0.3,-,6.82
Rolando Mandragora,"Fiorentina,",", DMC",15(5),1354,2,3,6,-,1.5,84.3,1.5,1,6.82
Krépin Diatta,"Monaco,",", M(CLR),FW",18(6),1660,3,2,3,-,1.4,79.4,1.3,-,6.82
Pierre Lees-Melou,"Brest,",", M(CLR)",23,1963,4,1,7,1,1.2,84.4,0.5,-,6.82
Jordan Veretout,"Marseille,",", M(C)",21(7),1964,3,2,2,-,0.8,87.1,0.4,1,6.82
Désiré Doué,"Rennes,",", AM(C)",10(11),1005,3,1,4,-,1,82.2,0.5,1,6.82
Gédéon Kalulu,"Lorient,",", D(R)",22,1980,-,3,4,-,0.4,80.6,1,1,6.82
Eric García,"Barcelona,",", D(C)",11(3),911,1,-,3,-,0.3,92,1.2,-,6.82
Theo Hernández,"AC Milan,",", D(L),M(L)",23,2011,3,3,5,-,1.8,77.8,1.2,1,6.82
Kasper Schmeichel,"Nice,",", GK",26,2340,-,-,-,-,-,74.3,0.1,2,6.82
Iza Carcelén,"Cadiz,",", D(R)",16(2),1420,-,1,2,3,0.3,80.3,0.7,-,6.82
Jesper Lindstrøm,"Eintracht Frankfurt,",", AM(CR),FW",20(2),1547,7,2,2,-,2,68.1,0.3,2,6.82
Mats Hummels,"Borussia Dortmund,",", D(C)",16(5),1358,-,-,4,-,0.5,87.6,2.3,-,6.81
Dayot Upamecano,"Bayern,",", D(C)",23,1980,-,1,4,1,0.3,90.4,1.7,-,6.81
Loïs Openda,"Lens,",", FW",19(9),1696,14,2,1,-,2.4,70.3,0.3,4,6.81
David García,"Osasuna,",", D(C)",23,2032,2,-,7,1,0.5,81,2.6,-,6.81
Emiliano Martínez,"Aston Villa,",", GK",25,2195,-,-,5,-,-,72.9,0.3,1,6.81
Alidu Seidu,"Clermont Foot,",", D(CR)",20,1755,-,-,6,-,0.3,87.3,0.7,-,6.81
Luis Alberto,"Lazio,",", AM(CL),FW",16(8),1473,5,3,2,-,1.2,87.5,0.2,1,6.81
Francesco Acerbi,"Inter,",", D(C)",17(3),1603,-,1,3,-,0.6,88.6,2.9,-,6.81
Yannick Gerhardt,"Wolfsburg,",", D(L),M(CL)",17(3),1416,6,3,2,-,1.1,75.2,0.9,2,6.81
Sead Kolasinac,"Marseille,",", D(CL),DMC,M(L)",17(6),1398,4,1,2,-,0.7,84.7,0.7,2,6.81
Tammy Abraham,"Roma,",", FW",20(7),1756,6,3,1,-,1.8,69.8,2.1,1,6.81
Robin Knoche,"Union Berlin,",", D(C)",24,2160,2,1,4,-,0.4,80.9,1.8,1,6.81
Koen Casteels,"Wolfsburg,",", GK",25,2250,-,-,-,-,-,74.5,0.1,2,6.81
Stefan Bell,"Mainz,",", D(CR)",17(4),1589,-,-,6,-,0.3,77.7,3.5,1,6.81
Ronald Araújo,"Barcelona,",", D(CR)",13(1),1123,-,1,5,1,0.7,88.5,1.9,-,6.81
Lars Stindl,"Borussia M.Gladbach,",", M(CLR),FW",15(5),1289,5,6,7,-,1.8,80.6,0.5,-,6.81
Rúben Dias,"Man City,",", D(C)",15(4),1369,-,-,2,-,0.5,92.4,1.8,-,6.81
Cengiz Ünder,"Marseille,",", M(CLR)",19(8),1666,2,4,3,-,1.7,76.6,0.4,2,6.81
Lucas Paquetá,"West Ham,",", M(CLR),FW",17(1),1329,2,2,4,-,2.1,80.9,1.2,1,6.80
Arkadiusz Milik,"Juventus,",", AM(C),FW",10(7),978,6,1,1,1,1.7,80.4,1.3,1,6.80
Samuel Gigot,"Marseille,",", D(C)",17(2),1399,2,2,2,2,0.5,87.3,1.8,2,6.80
Thibault De Smet,"Reims,",", D(L),M(L)",14,1248,-,1,2,-,-,78.5,1.6,-,6.80
Wilfried Zaha,"Crystal Palace,",", AM(LR),FW",23,2024,6,2,4,-,2.2,81.2,0.2,2,6.80
Dwight McNeil,"Everton,",", AM(CLR)",18(8),1602,3,2,5,-,1,77.8,0.2,3,6.79
Jean-Clair Todibo,"Nice,",", D(C)",26,2212,-,-,2,2,0.3,88.8,1,1,6.79
André Almeida,"Valencia,",", M(C)",18(5),1602,2,3,2,-,0.5,84.8,0.4,-,6.79
Nicolás Domínguez,"Bologna,",", M(C)",18(3),1590,1,2,7,-,1.1,81.3,1,1,6.79
Edin Dzeko,"Inter,",", FW",17(10),1569,7,3,3,-,2.3,72.2,1.4,3,6.79
Marcos Llorente,"Atletico,",", D(R),M(CR),FW",18(1),1442,1,2,4,-,0.9,85.7,0.5,1,6.79
Florian Niederlechner,"Augsburg,",", AM(CR),FW",10(4),912,4,1,1,-,2,60.4,2.1,-,6.79
Pervis Estupiñán,"Brighton,",", D(L)",19(3),1583,-,3,3,-,0.5,83.2,1.2,1,6.79
Rominigue Kouamé,"Troyes,",", DMC",23,1941,1,1,5,-,0.8,88.5,0.4,1,6.79
Vito Mannone,"Lorient,",", GK",14(1),1337,-,-,1,-,-,71.1,0.1,1,6.79
Michael Olise,"Crystal Palace,",", AM(CLR)",21(6),1857,2,5,2,-,1.1,79.3,0.3,3,6.79
Eric Dier,"Tottenham,",", D(CR),DMC",25(1),2275,2,1,3,-,0.6,87.2,2.6,1,6.79
Rodrigo,"Leeds,",", M(CLR),FW",17(3),1355,11,1,3,-,2.7,71.4,1,1,6.79
Lisandro Martínez,"Man Utd,",", D(CL),DMC",21(3),1854,1,-,6,-,0.3,86.9,1.3,-,6.79
Germán Pezzella,"Real Betis,",", D(C)",20(2),1785,-,-,2,2,0.4,88.5,2.3,1,6.79
William Carvalho,"Real Betis,",", DMC",20(2),1635,2,-,5,1,0.7,86.8,1.1,2,6.79
Neto,"Bournemouth,",", GK",17,1486,-,-,4,-,-,53.9,0.2,2,6.79
Armel Bella-Kotchap,"Southampton,",", D(C)",19,1487,-,1,3,-,0.6,79.2,1.7,-,6.78
Rasmus Kristensen,"Leeds,",", D(R),M(R)",13(3),1210,1,1,4,-,0.5,66.3,1.3,-,6.78
Luka Modric,"Real Madrid,",", M(C)",16(8),1415,4,3,6,-,1.1,90.4,0.3,-,6.78
Emil Audero,"Sampdoria,",", GK",25,2250,-,-,1,-,-,63.6,0.2,5,6.78
Boulaye Dia,"Salernitana,",", AM(R),FW",19(5),1772,10,4,3,-,1.4,76.8,0.5,2,6.78
Alfonso Pedraza,"Villarreal,",", D(L),M(L)",12(4),996,-,2,1,-,1.2,81.5,0.6,-,6.78
Jadon Sancho,"Man Utd,",", AM(CLR)",12(2),933,4,1,-,-,0.8,85.2,0.1,-,6.78
Hamari Traoré,"Rennes,",", D(R),M(R)",18(3),1661,1,2,4,-,0.9,87.5,1.1,-,6.78
Mohammed Salisu,"Southampton,",", D(CL)",21(1),1973,-,1,5,-,0.9,76.8,2.5,-,6.78
Jérémie Boga,"Atalanta,",", AM(CLR),FW",5(12),578,1,5,-,-,0.6,84.4,0.2,-,6.78
Robert Andrich,"Leverkusen,",", M(C)",22(1),1869,2,2,7,-,1,84.1,1.7,-,6.78
Laurent Abergel,"Lorient,",", DMC",19(1),1559,-,1,3,-,0.4,87.9,0.2,-,6.78
Quentin Merlin,"Nantes,",", D(L),M(L)",15(1),1270,-,1,1,-,0.8,79.9,0.7,-,6.78
Sven Botman,"Newcastle,",", D(C)",23(1),2049,-,-,1,-,0.6,86.7,2,-,6.78
Philipp Lienhart,"Freiburg,",", D(C)",22(1),2011,1,-,3,-,0.5,85.4,2.1,1,6.78
Wojciech Szczesny,"Juventus,",", GK",19,1663,-,-,-,-,-,72.3,0.4,-,6.77
Thomas Foket,"Reims,",", D(R),M(R)",13(1),1161,-,-,-,-,0.1,82.3,0.4,-,6.77
William Saliba,"Arsenal,",", D(C)",27,2416,2,1,4,-,0.2,91,2,1,6.77
Aaron Ramsey,"Nice,",", M(CLR)",14(8),1245,1,1,2,-,0.9,87.4,0.2,1,6.77
Steve Mandanda,"Rennes,",", GK",26,2296,-,1,1,-,-,69.8,0.2,2,6.77
Dan Burn,"Newcastle,",", D(CL),M(L)",25(1),2214,-,-,5,-,0.5,78.3,2.4,1,6.77
Tomás Soucek,"West Ham,",", DMC",22(4),2001,1,1,2,-,0.8,73.5,2.9,1,6.77
Brice Samba,"Lens,",", GK",28,2520,-,-,1,-,-,75.4,0.3,1,6.77
Benjamin Henrichs,"RBL,",", D(LR),DMC,M(LR)",17(5),1613,2,1,7,-,0.9,76.2,0.7,-,6.77
David Soria,"Getafe,",", GK",26,2340,-,-,1,-,-,51.9,0.1,4,6.77
Vicente Guaita,"Crystal Palace,",", GK",26,2340,-,-,1,-,-,66.7,0.4,2,6.77
Jarrod Bowen,"West Ham,",", AM(CLR),FW",26,2333,4,2,2,-,2.2,73.5,0.8,3,6.77
Lukasz Skorupski,"Bologna,",", GK",27,2430,-,-,3,-,-,73.4,0.2,-,6.77
Cristian Romero,"Tottenham,",", D(C)",18(1),1645,-,-,5,1,0.4,87.7,2,-,6.77
Gianluca Mancini,"Roma,",", D(C),DMC",26,2189,1,2,5,-,0.6,82.2,1.8,-,6.77
Mërgim Berisha,"Augsburg,",", AM(C),FW",18(1),1516,8,4,7,1,2.7,54.3,1.8,3,6.77
Eberechi Eze,"Crystal Palace,",", AM(CLR)",20(8),1744,4,3,2,-,1.5,81.9,0.4,1,6.76
Sandro Tonali,"AC Milan,",", DMC",21(3),1934,2,4,7,-,1,78.1,0.4,2,6.76
Dani Vivian,"Athletic Bilbao,",", D(C)",17(1),1534,1,-,5,-,0.4,80.5,1.4,-,6.76
Danilo Pereira,"PSG,",", D(C),DMC",17(6),1544,2,-,2,-,0.6,93.8,1.2,-,6.76
Mory Diaw,"Clermont Foot,",", GK",28,2520,-,-,-,-,-,66,0.2,3,6.76
Nordi Mukiele,"PSG,",", D(CR),M(R)",12(7),1133,-,3,-,-,0.6,88.4,1.1,1,6.76
Jack Harrison,"Leeds,",", AM(CLR),FW",23(2),1848,3,6,2,-,1,70.5,0.2,3,6.76
Pasquale Mazzocchi,"Salernitana,",", D(R),M(LR)",17(2),1430,2,2,2,-,0.7,79.5,0.4,1,6.76
Robin Le Normand,"Real Sociedad,",", D(C)",21(2),1895,-,-,4,-,0.3,89.5,3,-,6.76
Kevin Stöger,"Bochum,",", M(CL)",22(2),1945,2,1,1,-,1.5,74.4,0.4,1,6.76
Kiernan Dewsbury-Hall,"Leicester,",", M(C)",24(1),1964,2,2,2,-,0.9,78.1,0.6,1,6.76
Mama Baldé,"Troyes,",", D(R),M(CLR),FW",23(2),1957,10,3,3,2,2.4,68.8,1.3,3,6.76
Alessandro Bastoni,"Inter,",", D(C)",19(2),1632,-,2,2,-,0.6,85.2,1.6,-,6.76
Sergi Roberto,"Barcelona,",", D(R),M(CR)",10(7),946,4,1,3,-,0.8,92.2,0.2,-,6.76
Timothy Castagne,"Leicester,",", D(CLR),M(LR)",25(1),2267,1,2,2,-,0.5,81.2,1.4,-,6.76
Bradley Barcola,"Lyon,",", AM(R)",8(10),775,3,3,1,-,1,71.8,0.7,3,6.76
Yuri Berchiche,"Athletic Bilbao,",", D(L),M(L)",15(2),1328,1,1,5,1,1.2,83.3,1.7,1,6.76
Aarón Martín,"Mainz,",", D(L),M(L)",17(3),1492,3,3,1,-,0.7,82.9,0.1,1,6.76
Aitor Ruibal,"Real Betis,",", D(R),M(LR)",11(9),1081,-,-,3,-,0.6,79.7,0.5,2,6.76
John Stones,"Man City,",", D(CR)",14(1),1270,-,2,1,-,0.5,93.5,1.5,-,6.76
Emre Can,"Borussia Dortmund,",", D(CLR),DMC",11(7),1086,1,1,5,-,0.4,88,1.2,1,6.76
Mark Flekken,"Freiburg,",", GK",25,2250,-,-,-,-,-,69.6,0.2,2,6.76
Yeremy Pino,"Villarreal,",", AM(LR)",20(5),1571,3,2,4,-,1.1,77,0.8,1,6.76
Eduardo Camavinga,"Real Madrid,",", D(L),DMC",14(12),1343,-,1,4,-,0.6,91.7,0.7,-,6.76
Alex Iwobi,"Everton,",", M(CLR)",28,2482,1,6,2,-,0.9,79.8,0.2,-,6.76
Antonee Robinson,"Fulham,",", D(L),M(L)",24,2099,-,1,6,-,-,76.2,1,-,6.76
Christopher Jullien,"Montpellier,",", D(C)",22,1976,-,1,3,-,0.6,84.3,3.1,-,6.75
Saîf-Eddine Khaoui,"Clermont Foot,",", AM(CR)",19(6),1682,4,3,4,-,1.4,74.1,0.4,1,6.75
Xaver Schlager,"RBL,",", M(C)",16(3),1466,1,1,2,-,0.3,83.8,0.6,1,6.75
Diego Rico,"Real Sociedad,",", D(CL),M(L)",16(2),1467,-,-,3,-,0.4,78.8,0.9,1,6.75
Samuel Lino,"Valencia,",", AM(LR),FW",24(2),2083,2,1,3,-,2.5,80.8,0.5,1,6.75
Ridle Baku,"Wolfsburg,",", D(R),M(CR)",22(3),2016,5,1,4,-,1,79,0.6,1,6.75
Iñaki Williams,"Athletic Bilbao,",", AM(CLR),FW",22(2),1867,5,2,1,-,2.1,71,0.8,1,6.75
Stefan Savic,"Atletico,",", D(C)",18,1586,-,-,4,2,0.1,89.1,2.5,-,6.75
Antonio Raíllo,"Mallorca,",", D(C)",25,2250,1,1,8,-,0.4,84.9,2.6,1,6.75
Christian Kouamé,"Fiorentina,",", AM(LR),FW",18(3),1514,2,2,3,-,1.7,74.2,2.2,2,6.75
Tim Ream,"Fulham,",", D(CL),DMC",27,2428,1,-,2,-,0.1,86.9,1.3,1,6.75
Sergio Ramos,"PSG,",", D(CR)",22(2),1899,-,1,3,1,0.4,95,1.4,-,6.75
Jean-Charles Castelletto,"Nantes,",", D(C)",21(2),1759,-,-,2,-,0.3,83.3,2.3,-,6.75
Suat Serdar,"Hertha Berlin,",", M(CLR)",22(2),1699,4,1,4,-,0.9,69.6,1.1,1,6.75
Marco Carnesecchi,"Cremonese,",", GK",18,1620,-,1,1,-,-,54,0.1,2,6.75
Felix Nmecha,"Wolfsburg,",", M(C)",11(10),1118,2,3,3,-,1,72.8,1.6,-,6.75
Corentin Tolisso,"Lyon,",", D(R),M(CR)",17(4),1323,-,1,1,-,0.6,89,1,-,6.75
Kalidou Koulibaly,"Chelsea,",", D(C)",17(2),1522,2,1,5,1,0.5,86.9,1.4,-,6.75
André Silva,"RBL,",", FW",18(7),1544,4,3,2,-,2.2,74.2,0.7,-,6.74
Ermedin Demirovic,"Augsburg,",", AM(L),FW",24,1867,7,4,5,1,2,49.6,1.9,1,6.74
Gideon Mensah,"Auxerre,",", D(L),M(L)",19,1697,-,-,5,-,0.2,78.1,1.1,2,6.74
Nikola Milenkovic,"Fiorentina,",", D(CR)",18(2),1596,2,1,2,-,0.7,85.3,2.6,-,6.74
Iker Muniain,"Athletic Bilbao,",", AM(CLR)",15(7),1303,-,3,2,-,1,86.3,0.1,1,6.74
Florian Lejeune,"Rayo Vallecano,",", D(C)",24,2031,4,-,4,1,1.5,79.7,2,1,6.74
Timo Hübers,"FC Koln,",", D(C)",19(1),1748,1,-,5,-,0.3,82.9,2.8,-,6.74
