Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Andrei Girotto,"Nantes,",", D(C),DMC",27,2415,1,1,4,-,0.7,84.9,2.2,4,7.20
Adrien Rabiot,"Juventus,",", DMC,M(L)",22(1),1941,7,3,5,-,1.3,83.1,1.7,3,7.20
Raphaël Guerreiro,"Borussia Dortmund,",", D(L),M(CL)",19,1665,3,9,3,-,1.3,84.7,0.2,2,7.20
Leroy Sané,"Bayern,",", M(CLR),FW",15(8),1491,7,4,4,-,2.6,82.8,0.2,1,7.20
Joselu,"Espanyol,",", FW",22(1),1999,12,2,3,-,2.5,61.6,5.6,4,7.20
Nico Schlotterbeck,"Borussia Dortmund,",", D(C)",25,2185,4,4,3,-,0.7,86.9,2.4,-,7.19
Aleix García,"Girona,",", DMC",25,2148,1,5,1,-,1.2,89.3,0.5,2,7.19
Lautaro Martínez,"Inter,",", FW",24(3),2136,14,3,2,-,3.7,74.7,1.3,6,7.19
Michael Gregoritsch,"Freiburg,",", AM(CR),FW",23(1),1803,8,4,5,-,2.4,57.6,5,4,7.18
Mattia Zaccagni,"Lazio,",", AM(CL),FW",23(1),1901,9,4,6,-,1.8,84.4,0.4,4,7.18
Bruno Guimarães,"Newcastle,",", DMC",20,1675,3,3,4,-,0.9,83.2,0.6,1,7.18
Konstantinos Mavropanos,"Stuttgart,",", D(CR)",21(1),1870,2,1,6,-,1.7,83.1,2.7,2,7.17
Joelinton,"Newcastle,",", AM(CLR),FW",21(1),1851,2,1,10,-,1.5,83.4,1.7,1,7.17
Branco van den Boomen,"Toulouse,",", DMC",27,2359,5,7,5,-,1.7,81.8,0.2,1,7.17
Florian Sotoca,"Lens,",", AM(CR),FW",26(2),2305,6,7,4,-,2.7,79.7,1.4,3,7.17
Benjamin Pavard,"Bayern,",", D(CLR),M(R)",19(3),1712,3,1,4,-,0.9,89.5,2,1,7.16
Mário Rui,"Napoli,",", D(L),M(L)",18(1),1506,-,6,2,1,0.5,83.9,0.7,2,7.16
Jeremie Frimpong,"Leverkusen,",", D(R),M(R)",23(2),1940,7,6,4,-,1.1,79.5,0.4,3,7.16
Rodrygo,"Real Madrid,",", AM(CLR),FW",16(7),1574,4,5,2,-,2.8,90.2,0.5,2,7.16
Phil Foden,"Man City,",", AM(CLR),FW",17(7),1409,9,4,1,-,1.5,85.3,0.7,2,7.16
Alexis Sánchez,"Marseille,",", M(CLR),FW",22(3),1908,12,1,2,-,2,78.4,1.1,5,7.15
Wissam Ben Yedder,"Monaco,",", AM(C),FW",20(4),1479,17,4,2,-,2.1,77.4,0.5,4,7.15
Kim Min-Jae,"Napoli,",", D(C)",26,2282,2,1,4,-,0.3,90.7,2.8,-,7.15
Aleksandr Golovin,"Monaco,",", M(CLR)",21(5),1889,6,6,4,-,1.6,74.5,0.5,3,7.15
Aleksandar Mitrovic,"Fulham,",", FW",21,1820,11,1,6,-,4.1,60.4,4.4,4,7.15
Maximilian Arnold,"Wolfsburg,",", M(CR)",24,2094,5,2,5,-,1.1,82,1,2,7.14
Gerónimo Rulli,"Villarreal,",", GK",14,1260,-,-,1,-,-,83.7,0.2,2,7.14
Frenkie de Jong,"Barcelona,",", D(C),DMC",20(4),1783,2,1,2,-,0.6,90.7,0.8,1,7.13
Enes Ünal,"Getafe,",", FW",26,2280,13,3,4,-,2.6,64.2,4,4,7.12
Frederik Rønnow,"Union Berlin,",", GK",21,1890,-,-,2,-,-,66.8,0.3,3,7.12
Thomas Müller,"Bayern,",", M(CLR),FW",14(4),1064,4,7,-,-,1.5,78.9,1.6,-,7.12
Lorenzo Pellegrini,"Roma,",", M(CL)",22,1853,2,5,2,-,1.9,80.8,0.4,4,7.11
Marcus Thuram,"Borussia M.Gladbach,",", AM(L),FW",22(2),2001,12,3,3,-,3.2,74,1.3,3,7.11
André-Frank Zambo Anguissa,"Napoli,",", M(C)",25,2109,2,4,2,-,1.3,88.7,1.3,1,7.11
Kaoru Mitoma,"Brighton,",", M(L)",13(7),1271,6,3,-,-,1.2,84.5,0.5,3,7.11
Jeremías Ledesma,"Cadiz,",", GK",25,2250,-,-,1,-,-,44.5,0.3,4,7.11
Rafael Leão,"AC Milan,",", AM(CL),FW",21(4),1851,8,6,5,1,3,74.3,1,5,7.10
Willi Orbán,"RBL,",", D(C)",24,2141,3,-,2,-,0.9,88.6,3.5,-,7.10
Iago Aspas,"Celta Vigo,",", AM(CR),FW",24(2),2196,12,3,3,-,2.4,79,0.9,2,7.09
Sergi Darder,"Espanyol,",", M(CL)",26,2315,4,2,3,-,0.9,77.7,0.2,4,7.09
Kingsley Coman,"Bayern,",", M(LR),FW",9(8),925,5,4,-,1,1.8,85.5,0.5,3,7.09
Gaëtan Laborde,"Nice,",", AM(CLR),FW",20(3),1747,8,1,-,-,2,70.5,1.7,3,7.09
Moussa Diaby,"Leverkusen,",", M(CLR),FW",24,1962,8,4,2,-,2.1,80.1,0.1,2,7.08
Serge Gnabry,"Bayern,",", AM(CLR),FW",15(10),1322,9,4,-,-,2.3,83.4,0.1,3,7.08
Alexis Mac Allister,"Brighton,",", M(CL),FW",21(1),1906,7,1,6,-,2.4,88,0.7,2,7.08
Danilho Doekhi,"Union Berlin,",", D(C)",16,1408,4,1,-,-,0.4,78.9,2.6,3,7.08
Pierre-Emile Højbjerg,"Tottenham,",", M(C)",27,2413,4,3,3,-,1,89.2,0.6,3,7.07
Juan Foyth,"Villarreal,",", D(CR),DMC",13(2),1172,1,-,3,-,0.5,87.6,1.5,-,7.07
Seko Fofana,"Lens,",", M(C)",25(1),2269,4,4,2,-,2.5,89,0.6,2,7.07
Fabian Schär,"Newcastle,",", D(C)",24,2145,1,-,4,-,1.5,76.2,2.8,1,7.07
Casemiro,"Man Utd,",", DMC",15(4),1339,2,3,5,2,0.9,77.9,1.8,2,7.06
Gerard Deulofeu,"Udinese,",", AM(CLR),FW",15(1),1219,2,6,1,-,2.8,80.5,0.1,2,7.06
Giovanni Di Lorenzo,"Napoli,",", D(CLR),M(R)",27,2419,1,4,2,-,0.7,86.6,1.2,2,7.06
Hakan Çalhanoglu,"Inter,",", M(CLR),FW",23(3),1934,2,5,2,-,1.7,87.9,0.5,1,7.05
Marcus Rashford,"Man Utd,",", AM(CLR),FW",24(2),2135,14,3,2,-,2.7,76.6,0.7,5,7.05
Mohamed Salah,"Liverpool,",", AM(CLR),FW",26,2319,11,7,1,-,3.1,77,0.2,3,7.05
Amir Rrahmani,"Napoli,",", D(CL)",19(1),1729,2,1,1,-,0.9,91,2.4,-,7.05
Leon Goretzka,"Bayern,",", M(CR)",17(2),1332,3,2,4,-,1.8,83.2,2.1,1,7.05
Éder Militão,"Real Madrid,",", D(CR)",20(2),1758,4,-,3,-,0.7,87.8,2,2,7.05
Patrick Wimmer,"Wolfsburg,",", AM(R)",16(2),1151,3,6,4,-,0.9,65.6,0.9,-,7.05
